Semaine,Jour,Moment,Plat
2025-48,Lundi,Midi,Salade verte
2025-48,Lundi,Midi,Poulet rôti
2025-48,Lundi,Midi,Riz
2025-48,Lundi,Midi,Haricots verts
2025-48,Lundi,Midi,Yaourt
2025-48,Lundi,Soir,Soupe de légumes
2025-48,Lundi,Soir,Pizza margherita
2025-48,Mardi,Midi,Carottes râpées
2025-48,Mardi,Midi,Steak de boeuf
2025-48,Mardi,Midi,Frites
2025-48,Mardi,Midi,Brocolis
2025-48,Mardi,Midi,Mousse au chocolat
2025-48,Mardi,Soir,Spaghetti bolognaise
2025-48,Mardi,Soir,Légumes vapeur
2025-48,Mercredi,Midi,Taboulé
2025-48,Mercredi,Midi,Filet de saumon
2025-48,Mercredi,Midi,Pommes vapeur
2025-48,Mercredi,Midi,Courgettes
2025-48,Mercredi,Midi,Tarte aux pommes
2025-48,Mercredi,Soir,Lasagnes
2025-48,Mercredi,Soir,Salade verte
2025-48,Jeudi,Midi,Betteraves
2025-48,Jeudi,Midi,Escalope de dinde
2025-48,Jeudi,Midi,Pâtes
2025-48,Jeudi,Midi,Carottes
2025-48,Jeudi,Midi,Crème caramel
2025-48,Jeudi,Soir,Risotto aux champignons
2025-48,Jeudi,Soir,Légumes
2025-48,Vendredi,Midi,Salade composée
2025-48,Vendredi,Midi,Poisson pané
2025-48,Vendredi,Midi,Purée
2025-48,Vendredi,Midi,Petits pois
2025-48,Vendredi,Midi,Fruit de saison
2025-48,Vendredi,Soir,Pizza quatre fromages
2025-48,Vendredi,Soir,Salade verte
